GeneID,Distance from Consensus,Hamming Distance
20ES_CDS_8,0.9902512185976753,406
244_CDS_34,0.9865016872890888,464
32HC_CDS_36,0.9880014998125234,423
39HC_CDS_40,0.9876265466816648,459
40AC_CDS_12,0.9891263592050994,472
40BC_CDS_40,0.9876265466816648,455
8UZL_CDS_27,0.9928758905136857,296
A6_CDS_7,0.9722534683164604,403
Abba_CDS_28,0.9977502812148481,310
AbbyPaige_CDS_10,0.990626171728534,415
Abbyshoes_CDS_9,0.9722534683164604,396
AbbysRanger_CDS_8,0.9846269216347957,457
ABCat_CDS_31,0.9865016872890888,464
Abdiel_CDS_8,0.984251968503937,458
Abidatro_CDS_24,0.9992500937382827,276
Abinghost_CDS_46,0.990626171728534,382
Abrogate_CDS_10,0.9722534683164604,403
AbsoluteMadLad_CDS_47,0.9793775778027747,374
ABU_CDS_49,0.9793775778027747,383
Acadian_CDS_47,0.9861267341582303,483
ACFishhook_CDS_8,0.9865016872890888,491
Achebe_CDS_8,0.9846269216347957,457
Acme_CDS_10,0.9722534683164604,403
Acolyte_CDS_8,0.9853768278965129,437
Acquire49_CDS_25,0.9917510311211098,368
ActinUp_CDS_29,0.9838770153730784,508
Adahisdi_CDS_9,0.9722534683164604,403
Adaia_CDS_15,0.9981252343457068,216
Adat_CDS_19,0.9996250468691413,260
Adat_CDS_27,0.9778777652793401,377
Adephagia_CDS_29,0.9838770153730784,508
Adgers_CDS_34,0.995875515560555,199
Adgers_CDS_35,0.9917510311211098,256
Ading_CDS_220,0.983127109111361,431
Adjutor_CDS_36,0.9928758905136857,308
Adlitam_CDS_216,0.983127109111361,431
Adnama_CDS_35,0.9865016872890888,464
Adonis_CDS_29,0.9838770153730784,508
Adora_CDS_21,0.994750656167979,355
Adriana_CDS_49,0.9793775778027747,374
Aegeus_CDS_28,0.9917510311211098,371
Aelin_CDS_47,0.9801274840644919,389
Aeneas_CDS_10,0.9726284214473191,402
Aesir_CDS_34,0.9917510311211098,352
Affeca_CDS_39,0.9741282339707537,534
AFIS_CDS_9,0.9722534683164604,396
Aflac_CDS_13,0.9880014998125234,396
Agape74_CDS_10,0.990626171728534,415
Agatha_CDS_20,0.9943757030371203,177
Agatha_CDS_21,0.9883764529433821,288
AgentM_CDS_6,0.9917510311211098,282
Ageofdapage_CDS_29,0.9838770153730784,506
Aggie_CDS_28,0.9898762654668166,475
Aglet_CDS_8,0.9861267341582303,477
AgronaGT15_CDS_8,0.9861267341582303,477
Agueybana_CDS_20,0.9925009373828272,214
Agueybana_CDS_21,0.9861267341582303,266
AikoCarson_CDS_19,0.9928758905136857,177
AikoCarson_CDS_20,0.989501312335958,289
Aikoy_CDS_44,0.9902512185976753,501
Ailee_CDS_38,0.9741282339707537,537
Airmid_CDS_6,0.9921259842519685,292
Ajay_CDS_9,0.9722534683164604,396
Akhila_CDS_24,0.9887514060742407,354
Akoma_CDS_46,0.9857517810273716,383
Akoni_CDS_39,0.9981252343457068,318
AlainaMarie_CDS_13,0.9880014998125234,396
Alakazam_CDS_24,0.9887514060742407,239
AlanGrant_CDS_45,0.9902512185976753,539
Albee_CDS_8,0.984251968503937,458
Aleemily_CDS_26,0.9970003749531309,216
Aleemily_CDS_27,0.9962504686914135,225
Alex44_CDS_38,0.9981252343457068,314
AlexAdler_CDS_24,0.9872515935508062,234
Alexphander_CDS_33,0.9902512185976753,398
Ali17_CDS_38,0.9782527184101987,479
Alice_CDS_206,0.983127109111361,431
AlishaPH_CDS_29,0.9838770153730784,508
Aliter_CDS_10,0.9865016872890888,490
Allegro_CDS_47,0.9857517810273716,461
AlleyCat_CDS_29,0.9846269216347957,503
Alma_CDS_10,0.9861267341582303,489
AloeVera_CDS_40,0.9981252343457068,318
AlpineSix_CDS_31,0.9887514060742407,367
Alsfro_CDS_13,0.9760029996250469,418
Altman_CDS_10,0.9722534683164604,403
AltPhacts_CDS_48,0.9793775778027747,396
Altwerkus_CDS_47,0.9793775778027747,383
AlumE_CDS_20,0.9925009373828272,214
AlumE_CDS_21,0.9865016872890888,267
Alvin_CDS_10,0.9722534683164604,396
Alyssamiracle_CDS_37,0.994750656167979,354
Alyxandracam_CDS_24,0.9872515935508062,234
Amataga_CDS_217,0.983127109111361,431
Amelie_CDS_26,0.9850018747656543,505
Amgine_CDS_28,0.9827521559805025,521
Aminay_CDS_29,0.9823772028496438,518
Amochick_CDS_32,0.9913760779902512,429
Amohnition_CDS_28,0.9835020622422197,523
Amok_CDS_19,0.9928758905136857,177
Amok_CDS_20,0.989501312335958,289
Amore2_CDS_37,0.995875515560555,200
Amore2_CDS_38,0.9925009373828272,255
Amymech_CDS_32,0.9913760779902512,429
AN3_CDS_8,0.9902512185976753,407
AN9_CDS_7,0.9887514060742407,463
Anakin_CDS_35,0.9913760779902512,373
Anamika_CDS_34,0.995875515560555,200
Anamika_CDS_35,0.9921259842519685,256
AnarQue_CDS_43,0.9928758905136857,173
AnarQue_CDS_44,0.9880014998125234,307
Anaya_CDS_30,0.9838770153730784,508
Anaysia_CDS_9,0.9970003749531309,338
AnClar_CDS_42,0.9951256092988376,371
Anderson_CDS_48,0.9793775778027747,374
Andies_CDS_25,0.9898762654668166,472
AndPeggy_CDS_19,0.9928758905136857,179
AndPeggy_CDS_20,0.9887514060742407,286
Andromedas_CDS_23,0.9985001874765654,256
Aneem_CDS_9,0.9872515935508062,432
Angelicage_CDS_39,0.9741282339707537,534
Angelica_CDS_29,0.9838770153730784,508
Angelique_CDS_22,0.9932508436445444,219
Angelique_CDS_23,0.9868766404199475,268
Angel_CDS_27,0.9801274840644919,385
Anglerfish_CDS_9,0.9722534683164604,403
ANI8_CDS_7,0.9887514060742407,463
Anjali_CDS_15,0.9977502812148481,214
