GeneID,Distance from Consensus,Hamming Distance
A3Wally_CDS_151,0.9903181189488244,585
A3Wally_CDS_315,0.9951590594744122,236
A3Wally_CDS_4,0.9951590594744122,236
Aaronocolus_CDS_26,0.9930843706777317,297
Abba_CDS_19,0.9982710926694329,215
AbbyDaisy_CDS_24,0.9965421853388658,318
Abigail_CDS_22,0.9937759336099585,231
Abt2graduatex2_CDS_28,0.991701244813278,401
Adelaide_CDS_21,0.9982710926694329,481
Adolin_CDS_60,0.9885892116182573,456
Adumb2043_CDS_57,0.995850622406639,314
Alatin_CDS_4,0.9847856154910097,399
Albanese_CDS_25,0.983402489626556,230
Albedo_CDS_22,0.9937759336099585,233
Albright_CDS_22,0.9937759336099585,231
Aledel_CDS_21,0.9840940525587828,233
Alleb_CDS_52,0.9972337482710927,241
Alone3_CDS_157,0.9968879668049793,348
Alpacados_CDS_4,0.9847856154910097,402
Alsaber_CDS_28,0.9968879668049793,276
Altadena_CDS_27,0.9979253112033195,251
Alucard_CDS_17,0.9903181189488244,200
AluminumJesus_CDS_42,0.9930843706777317,253
Alvy_CDS_27,0.9948132780082988,355
Amabiko_CDS_40,0.995850622406639,169
Amela_CDS_27,0.9951590594744122,309
Amelia_CDS_24,0.9941217150760719,338
Amethyst_CDS_26,0.9937759336099585,298
Amigo_CDS_37,0.9875518672199171,428
Amyev_CDS_24,0.9885892116182573,470
Anansi_CDS_37,0.9875518672199171,425
Anatole_CDS_24,0.9975795297372061,277
Andrew_CDS_23,0.9951590594744122,334
Andris_CDS_26,0.9934301521438451,338
Angela_CDS_36,0.9961964038727524,167
Angela_CDS_40,0.9944674965421854,324
AngryOrchard_CDS_4,0.9872060857538036,328
Animus_CDS_27,0.9937759336099585,340
Annadreamy_CDS_18,0.9944674965421854,322
AnnaLie_CDS_23,0.9937759336099585,231
Annihilus_CDS_4,0.995850622406639,282
Anseraureola_CDS_17,0.9906639004149378,203
Antuna_CDS_29,0.9961964038727524,286
Aoka_CDS_25,0.9968879668049793,330
AppleCider_CDS_25,0.9840940525587828,232
AppleCloud_CDS_3,0.9851313969571232,400
Aquarius_CDS_20,0.9937759336099585,266
Araceli_CDS_35,0.9982710926694329,243
Arby_CDS_16,0.9972337482710927,140
Arby_CDS_17,0.989972337482711,184
Arcadia_CDS_5,0.9972337482710927,300
Argan_CDS_3,0.9968879668049793,317
Arianna_CDS_24,0.9948132780082988,446
Arielagos_CDS_14,0.9972337482710927,147
Aries55_CDS_17,0.9903181189488244,203
Armstrong_CDS_20,0.9944674965421854,269
Asa16_CDS_25,0.9885892116182573,465
Ascela_CDS_60,0.9965421853388658,311
ASegato_CDS_58,0.995850622406639,298
Ashton_CDS_40,0.9937759336099585,305
Asis_CDS_27,0.991701244813278,396
Asten_CDS_25,0.9878976486860305,327
Astro16_CDS_17,0.9903181189488244,203
ATCC29399BC_CDS_20,0.9937759336099585,266
ATCC29399BT_CDS_20,0.9937759336099585,266
Attoomi_CDS_20,0.9982710926694329,343
Austintatious_CDS_21,0.9937759336099585,295
AvGardian_CDS_22,0.9906639004149378,537
Avocadoman_CDS_22,0.9937759336099585,231
AxeJC_CDS_20,0.9927385892116183,293
Azathoth_CDS_16,0.9972337482710927,140
Azathoth_CDS_17,0.989972337482711,184
Azizam_CDS_17,0.9906639004149378,203
Aztec_CDS_17,0.9903181189488244,200
B22_CDS_24,0.9989626556016598,295
B3_CDS_24,0.9975795297372061,274
BabyDaisy_CDS_23,0.9937759336099585,231
BabyDotz_CDS_44,0.9927385892116183,252
BabyGotBac_CDS_27,0.991701244813278,396
BabyYoda_CDS_21,0.9906639004149378,539
Badulia_CDS_30,0.9965421853388658,221
BaileyBlu_CDS_21,0.9968879668049793,269
BAjuniper_CDS_21,0.9906639004149378,537
BarBear_CDS_17,0.9903181189488244,203
Barnstormer_CDS_20,0.9944674965421854,270
BarretLemon_CDS_28,0.9920470262793915,506
BarryBee_CDS_27,0.9878976486860305,327
BartholomewSD_CDS_27,0.9948132780082988,355
Bartholomune_CDS_36,0.9951590594744122,165
Basilisk_CDS_23,0.9948132780082988,331
Bauer_CDS_25,0.9965421853388658,318
BayC_CDS_27,0.991701244813278,396
Beans_CDS_26,0.9913554633471646,504
BeardedLady_CDS_27,0.9930843706777317,297
BeatusComedenti_CDS_13,0.9989626556016598,283
Bee17_CDS_31,0.9965421853388658,221
Beethoven_CDS_25,0.9823651452282157,234
Belenaria_CDS_4,0.9847856154910097,399
Belfort_CDS_20,0.9944674965421854,321
BelmontSKP_CDS_23,0.9937759336099585,231
Belthelas_CDS_17,0.9903181189488244,199
Bennie_CDS_21,0.9827109266943291,235
Berka_CDS_17,0.9996542185338866,229
Bernstein_CDS_20,0.9944674965421854,277
Berrie_CDS_58,0.995850622406639,310
Beuffert_CDS_17,0.9944674965421854,334
Bianmat_CDS_34,0.9989626556016598,208
Bianmat_CDS_35,0.9982710926694329,272
Big4_CDS_133,0.9896265560165975,648
Big4_CDS_279,0.9955048409405256,241
Big4_CDS_4,0.9955048409405256,241
BigMack_CDS_21,0.9823651452282157,236
BillNye_CDS_14,0.9892807745504841,387
Bilo_CDS_4,0.9961964038727524,282
Bing_CDS_4,0.995850622406639,278
BinkBonk_CDS_17,0.9903181189488244,203
Bioscum_CDS_21,0.9941217150760719,296
